"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","100","MARCELO CRIVELLA","5","RJ","3332886"
"2010","1","1000","DR. ELIEZER COSTA","6","SP","2314"
"2010","1","1000","DR.ALCESTE MADEIRA","6","RR","1917"
"2010","1","1000","FABIANO DOS SANTOS","6","PR","2540"
"2010","1","1000","FABRIZIA TINOCO","6","MS","4488"
"2010","1","1000","FLÁVIO BEZERRA","6","CE","73590"
"2010","1","1000","JOÃO MENDES","6","AL","2396"
"2010","1","1000","LUIZ CARLOS","6","ES","8415"
"2010","1","1000","MARCELO NASCIMENTO","6","RJ","13770"
"2010","1","1000","POPÓ","6","BA","60338"
"2010","1","1000","WALTER BRITO NETO","6","PB","5202"
"2010","1","10000","BIGODE","8","DF","312"
"2010","1","10000","CHEFAO","7","PB","583"
"2010","1","10000","ELY ROBERTO","7","AC","39"
"2010","1","10000","GERSON DEZEMBRO","7","SP","4664"
"2010","1","10000","JOHNSON MICHILES","7","AM","246"
"2010","1","10000","LAURINDO RATIER","7","MT","496"
"2010","1","10000","MARCOS CALDAS","7","MA","27508"
"2010","1","10000","ODON E DIFERENTE","7","GO","1250"
"2010","1","10000","PEDRO MANSO","7","RJ","4396"
"2010","1","10000","POLIANA MIRANDA","7","RO","504"
"2010","1","10000","PROFESSOR AUTANILDO DE FREITAS","7","AL","1510"
"2010","1","10000","RONALD BRASIL","7","RR","1228"
"2010","1","10000","RONALDO MARTINS","7","CE","51577"
"2010","1","10000","RUI VASSOURINHA","7","PA","6200"
"2010","1","10000","SEVENIL","7","PR","1054"
"2010","1","10000","VALDIR TRINDADE","7","RN","15429"
"2010","1","10001","EDU LUNA","7","PA","204"
"2010","1","10001","MARCHESINI","7","RJ","2409"
"2010","1","10001","PROFESSOR ANDERSON","7","MG","1764"
"2010","1","10001","THIAGO BRITO","7","MT","663"
"2010","1","10002","SGT. ESTEVES","7","RJ","479"
"2010","1","10003","CLEDSON","7","RJ","1159"
"2010","1","10005","SGT.PEREIRA","7","PA","249"
"2010","1","10007","CLARA SANDRA","7","MT","70"
"2010","1","10007","DENNIS FERRÃO","7","SP","1032"
"2010","1","10007","MIL","7","BA","184"
"2010","1","10007","PROF SERGIO MENEZES","7","PA","2851"
"2010","1","10007","SIMONE HIP-HOP","8","DF","112"
"2010","1","10009","EDEMUNDO","7","RJ","615"
"2010","1","1001","BERNARDO JUNIOR","6","RJ","1860"
"2010","1","1001","CÉSAR CRUZ GARCIA","6","SP","767"
"2010","1","1001","DOUTOR BRITO","6","PR","1850"
"2010","1","1001","INSPETORA LIDIA DA MATA","6","DF","701"
"2010","1","1001","LUCIA GUTEMBERG","6","BA","13403"
"2010","1","10010","DIVINO PIMENTA","8","DF","576"
"2010","1","10010","EMIRALDO","7","AM","484"
"2010","1","10010","GENIVALDO COSME","7","BA","1263"
"2010","1","10010","INDIO PIPOCA","7","MA","112"
"2010","1","10010","LUCAS DA AURENY","7","TO","231"
"2010","1","10010","PASTOR DANIEL DE CARVALHO","7","GO","848"
"2010","1","10010","PAULO DE CARVALHO","7","MS","443"
"2010","1","10010","SEU BENE DO LARANJAO","7","RJ","9513"
"2010","1","10010","VANESSA","7","AP","167"
"2010","1","10010","VERLAU WERDUM","7","RS","271"
"2010","1","10010","WANDEMBERG","7","SP","1623"
"2010","1","10010","WASHINGTON LOPES","7","MG","595"
"2010","1","10011","DR. LESSA","7","MG","12607"
"2010","1","10011","HELENA MACEDO","7","PA","13"
"2010","1","10011","MARCÃO TAEKWONDO","7","GO","130"
"2010","1","10013","ELYDIR VITÓRIA","7","BA","1941"
"2010","1","10013","JUNIOR PÉ NO CHÃO","7","MT","233"
"2010","1","10014","LUCIA CABELEIREIRA","7","RJ","134"
"2010","1","10015","NARA","7","MT","151"
"2010","1","10015","ZAIRA MIRANDA","7","TO","330"
"2010","1","10016","ZE PAULO","7","RJ","690"
"2010","1","10018","MARRECO","7","RJ","491"
"2010","1","10018","ODINEIDE REIS","7","PA","1"
"2010","1","1002","RENATO BRASIL","6","RJ","321"
"2010","1","10020","REGINA ESTHER","7","PA","7"
"2010","1","10020","WADÃO DJ - JEGUE DENTE DE OURO","7","SP","270"
"2010","1","10022","TEO SOARES","7","BA","490"
"2010","1","10023","AMILTON DE SOUSA","7","BA","796"
"2010","1","10025","ROBSON CARLOS","7","BA","48"
"2010","1","10026","ENGENHEIRO ORESTES","7","MG","259"
"2010","1","10028","MARINALVA","7","PA","2"
"2010","1","1003","PEDRO DO JUMENTO","6","GO","541"
"2010","1","10040","EGNALDO DO SANDUICHE","7","MG","1059"
"2010","1","10044","MARÍLIA COSTA","7","CE","289"
"2010","1","10045","ELIZABETH CARDOSO","7","PA","6"
"2010","1","10058","NEIDINA BERNARDES","7","GO","300"
"2010","1","1007","OSMAR BRITO","6","RJ","864"
"2010","1","1007","PAULO BASTOS","6","PA","1648"
"2010","1","10070","LUZIA VIEIRA","7","PA","2"
"2010","1","1008","MARCELO VELOSO","6","RJ","552"
"2010","1","10089","JEAN PIERRE DE CAMPO GRANDE","7","RJ","158"
"2010","1","1009","JORGE MIGUEL","6","RJ","1113"
"2010","1","1010","ADEMIR FREITAS","6","ES","1451"
"2010","1","1010","ANTONIO BULHÕES","6","SP","162667"
"2010","1","1010","BRANCO DO CALAFATE","6","AC","2530"
"2010","1","1010","CLEBER VERDE","6","MA","126896"
"2010","1","1010","EDVAN CARNEIRO","6","PB","16301"
"2010","1","1010","GEORGE HILTON","6","MG","92282"
"2010","1","1010","JERONIMO ALVES","6","SC","35556"
"2010","1","1010","MARCOS ANTÔNIO NEGÃO ABENÇOADO","6","PE","32488"
"2010","1","1010","MARCOS JORGE","6","RR","2733"
"2010","1","1010","MAURICIO RABELO","6","TO","7828"
"2010","1","1010","MÁRCIO MARINHO","6","BA","157917"
"2010","1","1010","OMAN CARNEIRO","6","CE","42989"
"2010","1","1010","PASTOR HELENO","6","SE","61598"
"2010","1","1010","PASTOR OLIVEIRA","6","AP","6041"
"2010","1","1010","PASTOR OLIVEIRA","6","PR","61428"
"2010","1","1010","PASTOR RAUL BATISTA E RAUL BAT","6","PA","63172"
"2010","1","1010","PASTOR SERGIO FONTELLAS","6","MS","18629"
"2010","1","1010","PR. JORGE PINHEIRO","6","GO","48510"
"2010","1","1010","RICARDO QUIRINO","6","DF","30969"
"2010","1","1010","VIGILANTE CLAUDINEI PINHEIRO","6","RN","762"
"2010","1","1010","VITOR PAULO","6","RJ","157580"
"2010","1","1010","WALDIR CANAL","6","RS","64732"
"2010","1","10100","BEATRIZ SANTOS","7","RJ","5742"
"2010","1","10100","BISPO GILBERTO ABRAMO","7","MG","52994"
"2010","1","10100","CASSIA BRINGEL","7","MA","5595"
"2010","1","10100","COSTA","7","SE","38"
"2010","1","10100","DR CHARLES","7","PA","2578"
"2010","1","10100","MAILSON CRUZ","7","CE","32696"
"2010","1","10100","RAQUEL CORREIA","7","MS","502"
"2010","1","10100","SHEILA VARELA","7","BA","21721"
"2010","1","10100","SILVIO DELMONDES","7","MT","8433"
"2010","1","10100","VALDIR OLIVEIRA","7","SP","642"
"2010","1","10101","EVANIR MAGALHÃES","7","GO","545"
